     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   1.935	     0.794	     0.112	     7.332	    29.329	   0.00000	   0.00000
   1.945	     0.797	     0.112	     7.370	    29.480	   0.00000	   0.00000
   1.965	     0.801	     0.113	     7.445	    29.780	   0.00000	   0.00000
   1.985	     0.806	     0.114	     7.570	    30.282	   0.00000	   0.00000
   2.005	     0.810	     0.114	     7.671	    30.683	   0.00000	   0.00000
   2.010	     0.811	     0.114	     7.696	    30.783	   0.00000	   0.00000
   2.020	     0.813	     0.115	     7.721	    30.883	   0.00000	   0.00000
   2.025	     0.815	     0.115	     7.746	    30.984	   0.00000	   0.00000
   2.030	     0.816	     0.115	     7.771	    31.084	   0.00000	   0.00000
   2.040	     0.817	     0.115	     7.821	    31.284	   0.00000	   0.00000
   2.045	     0.819	     0.116	     7.846	    31.385	   0.00000	   0.00000
   2.050	     0.820	     0.116	     7.871	    31.485	   0.00000	   0.00000
   2.060	     0.822	     0.116	     7.896	    31.585	   0.00000	   0.00000
   2.065	     0.823	     0.116	     7.921	    31.686	   0.00000	   0.00000
   2.070	     0.824	     0.116	     7.972	    31.886	   0.00000	   0.00000
   2.080	     0.826	     0.117	     7.997	    31.986	   0.00000	   0.00000
   2.090	     0.828	     0.117	     8.047	    32.187	   0.00000	   0.00000
   2.100	     0.831	     0.117	     8.097	    32.387	   0.00000	   0.00000
   2.110	     0.833	     0.118	     8.122	    32.488	   0.00000	   0.00000
   2.120	     0.835	     0.118	     8.172	    32.688	   0.00000	   0.00000
   2.130	     0.838	     0.118	     8.197	    32.789	   0.00000	   0.00000
   2.135	     0.839	     0.118	     8.222	    32.889	   0.00000	   0.00000
   2.145	     0.841	     0.119	     8.272	    33.089	   0.00000	   0.00000
   2.150	     0.843	     0.119	     8.297	    33.190	   0.00000	   0.00000
   2.155	     0.843	     0.119	     8.322	    33.290	   0.00000	   0.00000
   2.165	     0.845	     0.119	     8.373	    33.490	   0.00000	   0.00000
   2.170	     0.847	     0.120	     8.385	    33.541	   0.00000	   0.00000
   2.175	     0.848	     0.120	     8.398	    33.591	   0.00000	   0.00000
   2.185	     0.850	     0.120	     8.448	    33.791	   0.00000	   0.00000
   2.190	     0.851	     0.120	     8.473	    33.891	   0.00000	   0.00000
   2.195	     0.852	     0.120	     8.498	    33.992	   0.00000	   0.00000
   2.205	     0.854	     0.121	     8.523	    34.092	   0.00000	   0.00000
   2.210	     0.856	     0.121	     8.561	    34.242	   0.00000	   0.00000
   2.215	     0.857	     0.121	     8.598	    34.393	   0.00000	   0.00000
   2.225	     0.858	     0.121	     8.623	    34.493	   0.00000	   0.00000
   2.230	     0.860	     0.121	     8.648	    34.593	   0.00000	   0.00000
   2.235	     0.861	     0.122	     8.673	    34.694	   0.00000	   0.00000
   2.245	     0.863	     0.122	     8.698	    34.794	   0.00000	   0.00000
   2.250	     0.864	     0.122	     8.724	    34.894	   0.00000	   0.00000
   2.260	     0.866	     0.122	     8.774	    35.095	   0.00000	   0.00000
   2.270	     0.868	     0.123	     8.824	    35.295	   0.00000	   0.00000
   2.280	     0.871	     0.123	     8.874	    35.496	   0.00000	   0.00000
   2.290	     0.872	     0.123	     8.899	    35.596	   0.00000	   0.00000
   2.300	     0.875	     0.124	     8.949	    35.797	   0.00000	   0.00000
   2.310	     0.877	     0.124	     8.974	    35.897	   0.00000	   0.00000
   2.320	     0.880	     0.124	     8.999	    35.997	   0.00000	   0.00000
   2.330	     0.881	     0.124	     9.049	    36.198	   0.00000	   0.00000
   2.340	     0.884	     0.125	     9.100	    36.398	   0.00000	   0.00000
   2.350	     0.886	     0.125	     9.150	    36.599	   0.00000	   0.00000
   2.360	     0.888	     0.125	     9.200	    36.799	   0.00000	   0.00000
   2.370	     0.890	     0.126	     9.225	    36.900	   0.00000	   0.00000
   2.385	     0.894	     0.126	     9.300	    37.200	   0.00000	   0.00000
   2.390	     0.895	     0.126	     9.325	    37.301	   0.00000	   0.00000
   2.395	     0.896	     0.127	     9.350	    37.401	   0.00000	   0.00000
   2.405	     0.898	     0.127	     9.375	    37.501	   0.00000	   0.00000
   2.410	     0.900	     0.127	     9.425	    37.702	   0.00000	   0.00000
   2.415	     0.901	     0.127	     9.451	    37.802	   0.00000	   0.00000
   2.425	     0.903	     0.127	     9.476	    37.902	   0.00000	   0.00000
   2.430	     0.905	     0.128	     9.501	    38.003	   0.00000	   0.00000
   2.435	     0.905	     0.128	     9.526	    38.103	   0.00000	   0.00000
   2.445	     0.907	     0.128	     9.576	    38.303	   0.00000	   0.00000
   2.450	     0.909	     0.128	     9.588	    38.354	   0.00000	   0.00000
   2.455	     0.910	     0.128	     9.601	    38.404	   0.00000	   0.00000
   2.465	     0.911	     0.129	     9.626	    38.504	   0.00000	   0.00000
   2.470	     0.913	     0.129	     9.676	    38.704	   0.00000	   0.00000
   2.475	     0.914	     0.129	     9.701	    38.805	   0.00000	   0.00000
   2.485	     0.916	     0.129	     9.751	    39.005	   0.00000	   0.00000
   2.490	     0.918	     0.130	     9.776	    39.106	   0.00000	   0.00000
   2.495	     0.919	     0.130	     9.801	    39.206	   0.00000	   0.00000
   2.510	     0.921	     0.130	     9.877	    39.507	   0.00000	   0.00000
   2.520	     0.924	     0.130	     9.927	    39.707	   0.00000	   0.00000
   2.530	     0.925	     0.131	     9.952	    39.807	   0.00000	   0.00000
   2.540	     0.928	     0.131	    10.027	    40.108	   0.00000	   0.00000
   2.550	     0.930	     0.131	    10.052	    40.209	   0.00000	   0.00000
   2.560	     0.932	     0.132	    10.102	    40.409	   0.00000	   0.00000
   2.570	     0.933	     0.132	    10.152	    40.610	   0.00000	   0.00000
   2.580	     0.936	     0.132	    10.203	    40.810	   0.00000	   0.00000
   2.590	     0.937	     0.132	    10.253	    41.011	   0.00000	   0.00000
   2.600	     0.940	     0.133	    10.278	    41.111	   0.00000	   0.00000
   2.610	     0.941	     0.133	    10.328	    41.312	   0.00000	   0.00000
   2.620	     0.944	     0.133	    10.353	    41.412	   0.00000	   0.00000
   2.630	     0.946	     0.134	    10.403	    41.612	   0.00000	   0.00000
   2.635	     0.947	     0.134	    10.428	    41.713	   0.00000	   0.00000
   2.645	     0.949	     0.134	    10.453	    41.813	   0.00000	   0.00000
   2.650	     0.951	     0.134	    10.466	    41.863	   0.00000	   0.00000
   2.655	     0.951	     0.134	    10.478	    41.913	   0.00000	   0.00000
   2.665	     0.953	     0.135	    10.528	    42.114	   0.00000	   0.00000
   2.670	     0.955	     0.135	    10.541	    42.164	   0.00000	   0.00000
   2.675	     0.956	     0.135	    10.553	    42.214	   0.00000	   0.00000
   2.685	     0.957	     0.135	    10.629	    42.515	   0.00000	   0.00000
   2.690	     0.959	     0.135	    10.654	    42.615	   0.00000	   0.00000
   2.695	     0.960	     0.135	    10.679	    42.715	   0.00000	   0.00000
   2.705	     0.962	     0.136	    10.679	    42.715	   0.00000	   0.00000
